establishment_year,number_of_branches
1800,27
1812,2
1814,2
1825,1
1839,3
1846,1
1849,1
1851,1
1852,1
1853,2
1854,4
1855,2
1859,1
1863,4
1864,1
1865,2
1866,2
1867,1
1868,1
1870,2
1871,3
1872,5
1873,1
1874,2
1877,2
1878,1
1881,2
1883,2
1884,2
1885,1
1887,9
1888,1
1889,120
1890,8
1891,5
1892,8
1893,3
1894,1
1895,3
1897,3
1898,3
1899,10
1900,4
1901,2
1902,6
1903,5
1904,5
1905,10
1906,2
1907,18
1908,2
1909,5
1910,13
1911,2
1912,4
1913,1
1914,2
1915,4
1916,14
1917,3
1918,1
1919,140
1920,10
1921,9
1922,6
1923,28
1924,8
1925,14
1926,13
1927,8
1928,8
1929,8
1930,4
1931,6
1932,11
1933,40
1934,104
1935,4
1936,10
1937,24
1938,2
1939,6
1940,5
1941,5
1942,3
1943,2
1944,4
1945,4
1946,4
1947,12
1948,10
1949,14
1950,14
1951,19
1952,15
1953,23
1954,28
1955,39
1956,40
1957,60
1958,50
1959,36
1960,43
1961,39
1962,53
1963,46
1964,61
1965,74
1966,36
1967,30
1968,42
1969,40
1970,49
1971,46
1972,50
1973,81
1974,66
1975,37
1976,58
1977,30
1978,32
1979,52
1980,53
1981,38
1982,34
1983,23
1984,27
1985,34
1986,40
1987,53
1988,136
1989,47
1990,32
1991,42
1992,42
1993,50
1994,43
1995,42
1996,42
1997,38
1998,52
1999,42
2000,38
2001,46
2002,105
2003,161
2004,136
2005,79
2006,67
2007,51
2008,18
